LatinName,CommonName,Family,Shape,HeightLow,HeightHigh,WidthLow,WidthHigh,WhorlsLow,WhorlsHigh,WhorlIncrease,Perforate,Umbilicate,Rimate,Imperforate,LipReflected,teeth,Flattened,Shouldered,ModShouldered,Rounded,Ovate,Slit,Lunate,Truncated,Sutures,Transverse,Spiral,Lirate,Ribs,Papillae,Puncta,Hairs,Blotches,Bands,Operculum,Eyes,Pedal,Flavor,SnailID,Notes,Pilsbry,Discoverer,HasImages
Gastrocopta tappaniana,White Snaggletooth,Pupillidae,Pupa,1.7,2,1.1,1.2,5,5.5,,,,,,y,y,n,n,n,y,y,n,n,n,,n,n,n,n,n,n,n,n,n,n,i,n,Sn,19,Eight teeth,Vol. II Part 2 p.889,C.B. Adams\123 1842,n
Pupoides albilabris,White-lipped Dagger,Pupillidae,Pupa,4.2,5,2,2.2,6,6.5,,y,n,y,n,y,y,n,n,n,y,y,n,n,n,,n,n,n,n,n,n,n,n,n,n,i,n,Sn,14,,,C.B. Adams\123 1841,n
Vertigo bollesiana,Delicate Vertigo,Pupillidae,Pupa,1.5,1.5,,,4,5,,y,n,n,n,n,y,n,n,n,y,y,n,n,n,Well Defined,n,n,n,n,n,n,n,n,n,n,i,n,Sn,20,Cylindrical ovate. Weak striae. Five teeth.,Vol. II Part 2 p.981,E.S. Morse\123 1865,n
Vertigo gouldi,Variable Vertigo,Pupillidae,Pupa,1.5,2.1,,,4.5,5,,,,,,,y,n,n,n,y,y,n,n,n,,y,n,n,n,n,n,n,n,n,n,i,n,Sn,21,Usually 5\123 sometimes 4\123 teeth.,Vol. II Part 2 p. 971,A. Binney\123 1843,n
Vertigo milium,Blade Vertigo,Pupillidae,Pupa,1.3,1.75,0.8,1,4.5,5,,,,,,y,y,n,n,n,y,n,n,,n,,n,n,n,n,n,n,n,n,n,n,i,n,Sn,22,Six teeth.,Vol. II Part 2 p.944,Gould\123 1840,n
Vertigo ovata,Ovate Vertigo,Pupillidae,Pupa,2.2,2.3,1.4,1.5,5,5,Rapid,,,,,y,y,n,n,n,y,y,n,n,n,,n,n,n,n,n,n,n,n,n,n,i,n,Sn,23,,Vol. II Part 2 p.952,Say\123 1822,n
Vertigo pygmaea,Crested Vertigo,Pupillidae,Pupa,1.8,2,,,4.5,5,,,,,,y,y,n,n,n,y,y,n,n,n,,n,n,n,n,n,n,n,n,n,n,i,n,Sn,24,Weak striation.,Vol. II Part 2 p.961,Drapernaud\123 1801,n
Vertigo tridentata,Honey Vertigo,Pupillidae,Pupa,1.8,2.2,1,1.1,4.5,4.5,,,,,,y,y,n,n,n,y,y,n,n,n,,n,n,n,n,n,n,n,n,n,n,i,n,Sn,25,Shell is honey yellow. Mostly with 3 teeth.,Vol. II Part 2 p.964,Wolf\123 1870,n
Vertigo ventricosa,Five-tooth Vertigo,Pupillidae,Pupa,1.7,2,1,1.2,4,4.5,,n,y,n,n,y,y,n,n,n,y,y,n,n,n,Deep,n,n,n,n,y,y,n,n,n,n,i,n,Sn,26,Granules or puncta only seen under high magnification. Five teeth.,Vol. II Part 2 p.957,Morse\123 1865,n
Columella simplex,High Spire Column,Truncatellinidae,Pupa,1.8,2.1,,,5.5,5.5,,y,n,n,n,n,n,n,n,n,y,y,n,n,n,,y,n,n,n,n,n,n,n,n,n,i,n,Sn,27,Transverse striae under magnification.,,Gould\123 1840,n
Strobilops aeneus,Bronze Pinecone,Strobilopsidae,Beehive,1.5,2,2.4,2.8,5.5,5.5,,n,y,n,n,y,y,n,y,y,n,,,,n,,n,n,n,y,n,n,n,n,n,n,i,n,Sn,28,Narrowly umbilicate (diameter is 6 1/2x umbilicus).,Vol. II Part 2 p.862,Pilsbry\123 1926,n
Strobilops affinis,Eightfold Pinecone,Strobilopsidae,Beehive,2.5,2.6,2.75,2.8,6,6,Slowly,n,y,n,n,y,y,n,y,y,n,n,n,y,n,,n,n,n,y,n,n,n,n,n,n,i,n,Sn,29,,Vol. II Part 2 p.860,Pilsbry\123 1893,n
Strobilops labyrinthicus,Maze Pinecone,Strobilopsidae,Beehive,1.7,1.8,2.3,2.5,5.5,5.5,,n,y,n,n,y,y,n,n,y,n,n,n,y,n,,n,n,n,y,n,n,n,n,n,n,i,n,Sn,30,Narrowly umbilicate (contained 9 to 11 times in diameter).,Vol. II Part 2 p.854,Say\123 1817,n
Strobilops texasiana,Southern Pinecone,Strobilopsidae,Beehive,2.3,2.4,1.9,2,5.5,5.5,,n,y,n,n,y,y,n,n,y,y,n,n,y,n,,n,n,n,y,n,n,n,n,n,n,i,n,Sn,31,,Vol. II Part 2 p.856,Pilbry & Ferris\123 1906,n
Catinella oklahomarum,Detritus Ambersnail,Succineidae,Succiniform,,,,,,,,,,,,,n,,,,,n,n,,n,,n,n,n,n,n,n,n,n,n,n,i,n,Sn,32,Catinella species have spires almost as long as aperture.,,Webb\123 1953,n
Catinella vermeta,Suboval Ambersnail,Succineidae,Succiniform,7,11,4,6.8,2.5,3.5,,,,,,,n,,,,,n,n,,n,,n,n,n,n,n,n,n,n,n,n,i,n,Sn,33,Catinella species have spires almost as long as aperture.,Vol. II Part 2 p.837 as Succinea avara,Say\123 1829,n
Novisuccinea ovalis,Oval Ambersnail,Succineidae,Succiniform,6,26,,,2.5,2.5,,,,,,n,n,n,n,n,y,y,n,n,n,,n,n,n,n,n,n,n,n,n,n,i,n,Sn,34,Spire is smaller than aperture. Genital aperture noticably swollen.,Vol. II Part 2 p.801 as Succinea ovalis,Say\123 1817,n
Oxyloma retusum,Blunt Ambersnail,Succineidae,Succiniform,7.5,20,,,2.5,4.5,,,,,,n,n,,,,,y,n,n,n,,n,n,n,n,n,n,n,n,n,n,i,n,Sn,35,Oxyloma have spires smaller than aperture opening. Aperture is narrowly ovate.,Vol. II Part 2 p.785 as Oxyloma retusa,I. Lea\123 1834,n
Oxyloma subeffusum,Chesapeake Ambersnail,Succineidae,Succiniform,,,,,,,,,,,,,n,,,,,n,n,,n,,n,n,n,n,n,n,n,n,n,n,i,n,Sn,36,Oxyloma have spires smaller than aperture. Aperture is narrow.,Vol. II Part 2 p.790 as Oxyloma effusa subeffusa,Pilsbry\123 1948,n
Succinea putris,European Ambersnail,Succineidae,Succiniform,15,22,7,12,,,,,,,,,n,,,,,n,n,,n,,n,n,n,n,n,n,n,n,n,n,i,n,Sn,37,,,Linnaeus\123 1758,n
Anguispira alternata,Flamed Tigersnail,Discidae,Depressed Heliciform,,,15,30,4.5,6.5,,n,y,n,n,n,n,n,y,y,y,n,n,y,n,,n,n,n,y,n,n,n,y,n,n,i,y,Sn,38,Globose to moderately depressed.,Vol. II Part 2 p.568,Say\123 1816,n
